id;name;active;state_id;created_by
A1;Afonso Cláudio;true;8ES;system
A2;Água Doce do Norte;true;8ES;system
A3;Águia Branca;true;8ES;system
A4;Alegre;true;8ES;system
A5;Alfredo Chaves;true;8ES;system
A6;Alto Rio Novo;true;8ES;system
A7;Anchieta;true;8ES;system
A8;Apiacá;true;8ES;system
A9;Aracruz;true;8ES;system
A10;Atilio Vivacqua;true;8ES;system
A11;Baixo Guandu;true;8ES;system
A12;Barra de São Francisco;true;8ES;system
A13;Boa Esperança;true;8ES;system
A14;Bom Jesus do Norte;true;8ES;system
A15;Brejetuba;true;8ES;system
A16;Cachoeiro de Itapemirim;true;8ES;system
A17;Cariacica;true;8ES;system
A18;Castelo;true;8ES;system
A19;Colatina;true;8ES;system
A20;Conceição da Barra;true;8ES;system
A21;Conceição do Castelo;true;8ES;system
A22;Divino de São Lourenço;true;8ES;system
A23;Domingos Martins;true;8ES;system
A24;Dores do Rio Preto;true;8ES;system
A25;Ecoporanga;true;8ES;system
A26;Fundão;true;8ES;system
A27;Governador Lindenberg;true;8ES;system
A28;Guaçuí;true;8ES;system
A29;Guarapari;true;8ES;system
A30;Ibatiba;true;8ES;system
A31;Ibiraçu;true;8ES;system
A32;Ibitirama;true;8ES;system
A33;Iconha;true;8ES;system
A34;Irupi;true;8ES;system
A35;Itaguaçu;true;8ES;system
A36;Itapemirim;true;8ES;system
A37;Itarana;true;8ES;system
A38;Iúna;true;8ES;system
A39;Jaguaré;true;8ES;system
A40;Jerônimo Monteiro;true;8ES;system
A41;João Neiva;true;8ES;system
A42;Laranja da Terra;true;8ES;system
A43;Linhares;true;8ES;system
A44;Mantenópolis;true;8ES;system
A45;Marataízes;true;8ES;system
A46;Marechal Floriano;true;8ES;system
A47;Marilândia;true;8ES;system
A48;Mimoso do Sul;true;8ES;system
A49;Montanha;true;8ES;system
A50;Mucurici;true;8ES;system
A51;Muniz Freire;true;8ES;system
A52;Muqui;true;8ES;system
A53;Nova Venécia;true;8ES;system
A54;Pancas;true;8ES;system
A55;Pedro Canário;true;8ES;system
A56;Pinheiros;true;8ES;system
A57;Piúma;true;8ES;system
A58;Ponto Belo;true;8ES;system
A59;Presidente Kennedy;true;8ES;system
A60;Rio Bananal;true;8ES;system
A61;Rio Novo do Sul;true;8ES;system
A62;Santa Leopoldina;true;8ES;system
A63;Santa Maria de Jetibá;true;8ES;system
A64;Santa Teresa;true;8ES;system
A65;São Domingos do Norte;true;8ES;system
A66;São Gabriel da Palha;true;8ES;system
A67;São José do Calçado;true;8ES;system
A68;São Mateus;true;8ES;system
A69;São Roque do Canaã;true;8ES;system
A70;Serra;true;8ES;system
A71;Sooretama;true;8ES;system
A72;Vargem Alta;true;8ES;system
A73;Venda Nova do Imigrante;true;8ES;system
A74;Viana;true;8ES;system
A75;Vila Pavão;true;8ES;system
A76;Vila Valério;true;8ES;system
A77;Vila Velha;true;8ES;system
A78;Vitória;true;8ES;system
A79;Acrelândia;true;1AC;system
A80;Assis Brasil;true;1AC;system
A81;Brasiléia;true;1AC;system
A82;Bujari;true;1AC;system
A83;Capixaba;true;1AC;system
A84;Cruzeiro do Sul;true;1AC;system
A85;Epitaciolândia;true;1AC;system
A86;Feijó;true;1AC;system
A87;Jordão;true;1AC;system
A88;Mâncio Lima;true;1AC;system
A89;Manoel Urbano;true;1AC;system
A90;Marechal Thaumaturgo;true;1AC;system
A91;Plácido de Castro;true;1AC;system
A92;Porto Acre;true;1AC;system
A93;Porto Walter;true;1AC;system
A94;Rio Branco;true;1AC;system
A95;Rodrigues Alves;true;1AC;system
A96;Santa Rosa do Purus;true;1AC;system
A97;Sena Madureira;true;1AC;system
A98;Senador Guiomard;true;1AC;system
A99;Tarauacá;true;1AC;system
A100;Xapuri;true;1AC;system
A101;Água Branca;true;2AL;system
A102;Anadia;true;2AL;system
A103;Arapiraca;true;2AL;system
A104;Atalaia;true;2AL;system
